Drawing the Head and Hands by Andrew Loomis;http://www.pdfdrive.com/drawing-the-head-and-hands-by-andrew-loomis-e10182633.html;141 Pages;https://cdn.pdfdrive.com/assets/thumbs/efb/efb1e479d41d511bdafbf9899f1bfdb4-s.jpg;English;['Painting & Drawing']
Building Construction Handbook;http://www.pdfdrive.com/building-construction-handbook-e26240750.html;841 Pages;https://cdn.pdfdrive.com/assets/thumbs/3cc/3cc1442d279dab955e40ad9e9e890b46-s.jpg;English;['Most Popular', 'Architecture']
Drawing Cartoons & Comics for Dummies;http://www.pdfdrive.com/drawing-cartoons-comics-for-dummies-e10783856.html;363 Pages;https://cdn.pdfdrive.com/assets/thumbs/0a6/0a651ad3962e9c34fef58a56e9001f16-s.jpg;English;"[""Editor's Picks"", 'Most Popular', 'Painting & Drawing']"
Art of Drawing the Human Body;http://www.pdfdrive.com/art-of-drawing-the-human-body-e19196654.html;162 Pages;https://cdn.pdfdrive.com/assets/thumbs/40a/40a376954631afafa275af19fe6b3154-s.jpg;English;"[""Editor's Picks"", 'Most Popular', 'Painting & Drawing']"
How to Draw and Paint Anatomy;http://www.pdfdrive.com/how-to-draw-and-paint-anatomy-e34535062.html;117 Pages;https://cdn.pdfdrive.com/assets/thumbs/1f3/1f30149c0eac3cae0edd0ae9f2fe62f6-s.jpg;English;['Painting & Drawing']
Mastering Photoshop for Web Design;http://www.pdfdrive.com/mastering-photoshop-for-web-design-e8109058.html;216 Pages;https://cdn.pdfdrive.com/assets/thumbs/bb3/bb394f5e6d24d9e18a574df6a70a22a3-s.jpg;English;"['Web Design', 'Graphic Design', ""Editor's Picks"", 'Software']"
Pencil Drawing Techniques;http://www.pdfdrive.com/pencil-drawing-techniques-e6661274.html;138 Pages;https://cdn.pdfdrive.com/assets/thumbs/58e/58e011302c7db09496ad4c1c05448dfc-s.jpg;English;['Painting & Drawing']
Children's Illustrated Dictionary;http://www.pdfdrive.com/childrens-illustrated-dictionary-e27107571.html;258 Pages;https://cdn.pdfdrive.com/assets/thumbs/9bb/9bbb837b9dc1518a3284941a544fbd92-s.jpg;English;['Graphic Design', 'Children & Youth']
Digital Colour in Graphic Design;http://www.pdfdrive.com/digital-colour-in-graphic-design-e28864279.html;225 Pages;https://cdn.pdfdrive.com/assets/thumbs/1b2/1b2e9f93d4796ec92567890849162df2-s.jpg;English;['Graphic Design']
figure drawing – design and invention;http://www.pdfdrive.com/figure-drawing-design-and-invention-e8408345.html;241 Pages;https://cdn.pdfdrive.com/assets/thumbs/2c5/2c5443c8d4015c9a8fa7952a5a337857-s.jpg;English;['Painting & Drawing']
